,states,latLong,description,designation,parkCode,id,directionsInfo,directionsUrl,fullName,url,weatherInfo,name
239,OR,"lat:42.10319143, long:-123.4018586","Deep within the Siskiyou Mountains are dark, twisting passages that await your discovery.  Eons of acidic water seeping into marble rock created and decorated the wondrous “Marble Halls of Oregon.” Join a tour, get a taste of what caving is all about, and explore a mountain from the inside and out.",National Monument & Preserve,orca,480702B9-E8B5-45A1-ACB4-7B044C13F7A2,"Take 199 to Cave Junction, Oregon.
Turn onto OR-46 (a Chevron gas station is on the corner).
Follow OR-46 for 20 miles to the Monument and Preserve.",http://www.nps.gov/orca/planyourvisit/directions.htm,Oregon Caves National Monument & Preserve,https://www.nps.gov/orca/index.htm,For current weather conditions visit http://forecast.weather.gov/MapClick.php?lat=42.07376224008719&lon=-123.3984375&site=mfr&smap=1&unit=0&lg=en&FcstType=text#.Vqe3FfkrKUk,Oregon Caves
240,AR,"lat:36.45438033, long:-94.03468357","On March 7-8, 1862, over 23,000 soldiers fought here to decide the fate of Missouri and was a turning point of the war in the West.  The 4,300 acre battlefield honors those who fought and died on these grounds. Pea Ridge was the most pivotal Civil War battle west of the Mississippi River and is one of the most intact Civil War battlefields in the United States.",National Military Park,peri,58BCDB2B-5A91-4892-8470-76D802313884,The new entrance road is located on Highway 62 1.3 miles east of the intersection of Highways 62 and 72.,http://www.nps.gov/peri/planyourvisit/directions.htm,Pea Ridge National Military Park,https://www.nps.gov/peri/index.htm,Hot and humid in summer; winters can be cold with snow and ice.,Pea Ridge
241,MI,"lat:46.56435642, long:-86.31628733","Sandstone cliffs, beaches, sand dunes, waterfalls, inland lakes, deep forest, and wild shoreline beckon you to visit Pictured Rocks National Lakeshore. The power of Lake Superior shapes the park's coastal features and affects every ecosystem, creating a unique landscape to explore. Hiking, camping, sightseeing, and four-season outdoor opportunities abound.",National Lakeshore,piro,8D803E2F-FB28-4DC3-9EDC-7FDAE185C092,"Pictured Rocks NL is located on the south shore of Lake Superior in Michigan's Upper Peninsula, between the towns of Munising (west) and Grand Marais (east). Access the west side of the park via Michigan highways M-28 and M-94 to Munising. State highway M-77 leads to Grand Marais on the east side. Alger County Road H-58 runs parallel and through the park, providing access to spur roads that lead to scenic overlooks, trailheads, campgrounds, beaches, etc. Many roads are closed in winter due to snow.",http://www.nps.gov/piro/planyourvisit/directions.htm,Pictured Rocks National Lakeshore,https://www.nps.gov/piro/index.htm,"Summers are pleasant with the average highs in June, July, and August in the 70s°F, and lows in the low 50s°F. The coldest months are December through March with average highs of 25°F to 32°F, and average lows in the teens.

Annual precipitation averages 31 inches; average annual snowfall ranges from 140 to 160 inches. Snow generally covers the ground from late November through late April.",Pictured Rocks
242,MN,"lat:44.01351958, long:-96.32475523","For countless generations, American Indians have quarried the red pipestone found at this site. These grounds are sacred to many people because the pipestone quarried here is carved into pipes used for prayer. Many believe that the pipe's smoke carries one's prayer to the Great Spirit. The traditions of quarrying and pipemaking continue here today.",National Monument,pipe,932C699A-5680-4EA3-8C62-69A6A7D286C5,"Plane: Commercial service - located at Sioux Falls, SD -Joe Foss Field airport. 50 miles from Pipestone National Monument. Rental cars are available at the airport.

Non-Commercial service - located at Pipestone MN airport. Courtesy car or transit service available to Pipestone National Monument from the airport.

Car: Pipestone National Monument is easily accessible from local highways. When you reach the city of Pipestone, road signs will lead you to Pipestone National Monument.",http://www.nps.gov/pipe/planyourvisit/directions.htm,Pipestone National Monument,https://www.nps.gov/pipe/index.htm,Weather varies seasonally from warm and humid in the summer to cold and snowy in the winter. Visitors should be prepared for seasonal weather and for rapidly-changing conditions.,Pipestone
243,VA,"lat:38.58589108, long:-77.38910997","Prince William Forest Park is an oasis, a respite of quiet and calm. In 1936, Chopawamsic Recreation Area opened its gates to house children's 'relief' camps during the Great Depression. Renamed Prince William Forest Park in 1948, these fragrant woods and trickling streams have welcomed generations of campers, hikers, bikers and nature lovers. Discover Northern Virginia's best kept secret!",Park,prwi,28ECD546-FD68-4640-8A31-773F7F7A5211,"From Washington, D.C. and points north: 
Take I-95 south to exit 150-B (VA Route 619/Joplin Road). The park entrance is the second right. 

From Fredericksburg and points south:
Take I-95 north to exit 150 (VA Route 619/Joplin Road). Turn left at the bottom of the exit ramp and continue on VA Route 619 West approximately 1/4 mile to the park entrance.",http://www.nps.gov/prwi/planyourvisit/directions.htm,Prince William Forest Park,https://www.nps.gov/prwi/index.htm,"Prince William Forest Park experiences all four seasons. Spring and fall are generally comfortable with precipitation possible.Summers can be hot and humid with average temperatures in the high 80s and with sudden thunderstorms possible. July and August are the hottest months. Winters can be cold with average temperatures in the winter of 41 degrees with variable precipitation. The main park roads can close due to snowy conditions, though cross-country skiing and snow-shoeing are permitted.",Prince William Forest
244,ME,"lat:44.87357167, long:-66.96209908","For many years, Franklin D. Roosevelt summered on Campobello Island. As an adult, he shared with his family the same active pursuits he enjoyed on the island as child. Although he visited less frequently after contracting polio, Campobello remained important to FDR. Today Roosevelt Campobello International Park serves as a memorial to FDR and a symbol of cooperation between the U.S. and Canada.",International Park,roca,05106DE8-D6F2-4088-9834-79462FBDDA21,"The park is located on Campobello Island in New Brunswick, Canada. The customs station is located at the southern end of the island. Car is the best way to travel to the park; there is no public transportation available. From Boston take I-95 north to Bangor, Maine. Take Route 1A east to Ellsworth, then follow Route 1 east to Whiting Village. Take Route 189 to Lubec and cross the FDR Memorial Bridge to Campobello Island. The visitor center is located approximately two miles from the bridge.",http://www.nps.gov/roca/planyourvisit/directions.htm,Roosevelt Campobello International Park,https://www.nps.gov/roca/index.htm,Roosevelt Campobello experiences all four seasons. Summer temperatures range from 50-80F (10-27C). Fall temperatures range from 25-70F (-4-21C). Typically the first is in frost mid-October and first snowfall begins in November and can continue through April with an average accumulation of 67 inches (170 cm). Winter temperatures range from 5-30F (-15 - -1C). Spring temperatures range from 20-60F (-6-16C).,Roosevelt Campobello
245,PA,,"The Schuylkill River Valley National Heritage Area, also known as the Schuylkill River Greenways National Heritage Area, is the birthplace of movements that shaped the nation, fueled its growth, and reclaimed its future. It was along the banks of this river and its tributaries that the American, Industrial, and Environmental Revolutions were born.",National Heritage Area,scrv,AC80B185-0C91-4CB2-85CD-771FB82E8342,"From Highway 422 headed north out of Philadelphia, exit South Hanover Street and turn right at the intersection. After you cross the Schuylkill River turn left on to College Drive. The office will be on the left.",http://www.nps.gov/scrv/planyourvisit/directions.htm,Schuylkill River Valley National Heritage Area,https://www.nps.gov/scrv/index.htm,Winters on the river are cold and damp with a cool spring and fall and a hot and humid summer. Sturdy hiking shoes are recommended for outdoor recreation during the snowy wintery season.,Schuylkill River Valley
246,MA,"lat:42.1086368, long:-72.57967415","For nearly two centuries, the US Armed Forces and American industry looked to Springfield Armory for innovative engineering and superior firearms. Springfield Armory National Historic Site commemorates the critical role of the nation’s first armory by preserving and interpreting the world's largest historic US military small arms collection, along with historic archives, buildings, and landscapes.",National Historic Site,spar,E01A7425-C74B-4E71-853D-681AD2FB948A,"The entrance to Armory Square is on Federal Street in Springfield, MA. Armory Square is shared by Springfield Armory NHS and Springfield Technical Community College (STCC).  The park is located on the STCC campus.  Follow the one way roadway around until you see the entrance sign for the park.  If stopped by campus security let them know you are visiting the park.  Parking is available in front of the Springfield Armory visitor center.",http://www.nps.gov/spar/planyourvisit/directions.htm,Springfield Armory National Historic Site,https://www.nps.gov/spar/index.htm,"Springfield Armory National Historic Site is situated in the heart of Western Massachusetts and the Pioneer Valley. Our year is marked by four distinct seasons. Summers tend to be pleasant, but can at times be very hot and very humid. Autumn features brilliant foliage and cooler, calmer weather. Winter storms are capable of closing the park and can make travel dangerous. Springtime in New England is pleasant.",Springfield Armory
247,DC,"lat:38.89584162, long:-77.06241918","In the 1930s, landscape architects transformed Mason’s Island from neglected, overgrown farmland into Theodore Roosevelt Island, a memorial to America’s 26th president. They conceived a “real forest” designed to mimic the natural forest that once covered the island. Today miles of trails through wooded uplands and swampy bottomlands honor the legacy of a great outdoorsman and conservationist.",,this,42D7081F-2B9B-449C-9BF2-785850AE4865,"By Car: accessible from the northbound lanes of the George Washington Memorial Parkway, after Roosevelt Bridge, exit sign, turn right into the parking lot. Please note: park in a designated parking space, US Park Police regularly tickets drivers who park on the grass.
By Metro: exit Rosslyn Metro station, walk toward Key Bridge, take short connecting trail downhill from the downstream side of the bridge, across the parkway, and into the parking lot for the island.
By Bike: Mount Vernon Trail north end",http://www.nps.gov/this/planyourvisit/directions.htm,Theodore Roosevelt Island,https://www.nps.gov/this/index.htm,"Outdoor trails and memorial plaza subject to weather for Washington, D.C. and Arlington, VA.",Theodore Roosevelt Island
248,DC,"lat:38.88865182, long:-77.03546586","Built to honor George Washington, the United States' first president, the 555-foot marble obelisk towers over Washington, D.C.",,wamo,37E34290-2E37-4A67-8C95-7A3442F354B1,"GPS Coordinates: 38.889463, -77.035237
Address: 2 15th St. NW Washington, D.C.
Nearest Intersection: 15th St. & Madison Dr. NW",http://www.nps.gov/wamo/planyourvisit/directions.htm,Washington Monument,https://www.nps.gov/wamo/index.htm,"Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter.

Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees

Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees

Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees

Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees

(Source: www.usclimatedata.com)",Washington Monument
249,WV,"lat:40.0387420654297, long:-80.6968994140625","The Wheeling National Heritage Area celebrates the city’s dramatic setting along the Ohio River, providing experiences in Victorian architecture, waterfront park development, historic city markets, renovated industrial buildings featuring retail shops, restaurants and interpretive exhibits, and West Virginia Independence Hall, the birthplace of the state of West Virginia during the Civil War.",National Heritage Area,whee,DE4C41D8-4356-462C-8544-6C5607E6709E,"We are located at 1400 Main Street, Wheeling, WV 26003.","https://www.google.com/maps/place/1400+Main+St,+Wheeling,+WV+26003/@40.0653945,-80.7254285,17z/data=!3m1!4b1!4m2!3m1!1s0x8835d9873c14c603:0x7731de705b1c3637",Wheeling National Heritage Area,https://www.nps.gov/whee/index.htm,"Over a year, the temperatures vary from low 20s to mid 80s, typically. This area is very humid and has no dry season.",Wheeling
250,KY,"lat:37.5858662, long:-85.67330523","For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln.  His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War.  The country's first memorial to Lincoln, built with donations from young and old, enshrines the symbolic birthplace cabin.",National Historical Park,abli,77E0D7F0-1942-494A-ACE2-9004D2BDC59E,The Birthplace Unit of the park is located approximately 2 miles south of the town of Hodgenville on U.S. Highway 31E South. The Boyhood Home Unit at Knob Creek is located approximately 10 miles northeast of the Birthplace Unit of the park.,http://www.nps.gov/abli/planyourvisit/directions.htm,Abraham Lincoln Birthplace National Historical Park,https://www.nps.gov/abli/index.htm,"There are four distinct seasons in Central Kentucky. However, temperature and weather conditions can vary widely within those seasons. Spring and Fall are generally pleasant with frequent rain showers. Summer is usually hot and humid. Winter is moderately cold with mixed precipitation.",Abraham Lincoln Birthplace
251,HI,,"Established in 2000 for the preservation, protection and interpretation of traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor and trail network of cultural and historical significance. It traverses through hundreds of ancient Hawaiian settlement sites and over 200 ahupua'a (traditional land divisions). Connect now!",National Historic Trail,alka,3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1,"The trail can be unofficially accessed through sections within the four National Parks on the Island of Hawai'i including Hawaii Volcanoes National Park, Pu'uhonua o Honaunau National Historical Park, Kaloko-Honokohau National Historical Park and Pu'ukohola National Historic Site. Otherwise, the section of the Ala Kahakai Trail under Hawaii State Na Ala Hele jurisdiction is open for public use.",http://home.nps.gov/alka/planyourvisit/directions.htm,Ala Kahakai National Historic Trail,https://www.nps.gov/alka/index.htm,Island weather is unpredictable. Visitors should be prepared for rain and wear layers of clothing to ensure their comfort while exploring the park.,Ala Kahakai
252,AR,"lat:36.04116481, long:-92.90761584","Established in 1972, Buffalo National River flows freely for 135 miles and is one of the few remaining undammed rivers in the lower 48 states. Once you arrive, prepare to journey from running rapids to quiet pools while surrounded by massive bluffs as you cruise through the Ozark Mountains down to the White River.",National River,buff,DBD2FCBF-D0DD-4262-A04E-93090888F0F5,"Buffalo National River is a long, narrow park that is crossed by three main highways. 

Highways 7, 43, and 62/65 are the main roads out of Harrison, Arkansas that will take you to the Buffalo River, depending on which part of the park you wish to visit.

GPS systems are not reliable in this area so please call ahead for directions or pick up a map of the area beforehand.",http://www.nps.gov/buff/planyourvisit/directions.htm,Buffalo National River,https://www.nps.gov/buff/index.htm,Summer in the Ozarks can be very hot and humid. Please check the weather forecast prior to your arrival and plan accordingly. The weather the rest of the year has the potential to be wet and cool or dry and warm. Please pay special attention to river levels and the rain forecast when planning a trip on the river. River levels can rise dramatically in a short period of time so please be aware of conditions.,Buffalo
253,CA,"lat:32.6722503, long:-117.2415985","Climbing out of his boat and onto shore in 1542, Juan Rodriguez Cabrillo stepped into history as the first European to set foot on what is now the West Coast of the United States. In addition to telling the story of 16th century exploration, the park is home to a wealth of cultural and natural resources. Join us and embark on your own Voyage of Exploration.",National Monument,cabr,2DB09FB7-0408-44C9-8083-8F50039BD6DA,"FROM DOWNTOWN SAN DIEGO

Take Harbor Drive past the airport
Turn left onto Rosecrans Street
Turn right onto Canon Street
Turn left onto Catalina Blvd. (also known as Cabrillo Memorial Drive)
Follow Catalina Blvd. all the way to the end",http://www.nps.gov/cabr/planyourvisit/directionstocabr.htm,Cabrillo National Monument,https://www.nps.gov/cabr/index.htm,"Near Perfection
Almost three million county residents can't be wrong: it's the weather. While many areas of the country are hibernating under blankets of snow or sweltering in muggy mid-summer humidity, San Diego's climate is generally sunny and mild year-round.",Cabrillo
254,VA,"lat:36.9280548096, long:-76.0083312988","English colonists first landed here in April 1607, erected a wooden cross and gave thanks for a successful crossing to a new land. In 1781, Americans could watch from these same sand dunes the largest naval battle of the Revolutionary War. Our French Allies defeated a British fleet just off this shore to set the stage for General George Washington's victory at Yorktown.",Part of Colonial National Historical Park,came,3A2AEA7C-8896-4445-9763-932B4A74CF34,"Located on the south side of the Chesapeake Bay, Cape Henry Memorial sits within the Joint Expeditionary Base Little Creek-Fort Story. From Interstate 64 E take exit 282 to merge onto US-13N/Northhampton Boulevard towards the Chesapeake Bay Bridge. Then take US-60 E/Shore Drive exit toward Beaches, this is the last exit before the Chesapeake Bay Bridge. Follow Shore Drive and turn left onto Atlantic Ave and proceed to Gate 8. Follow Atlantic Ave to Cape Henry Memorial.",http://www.nps.gov/came/planyourvisit/directions.htm,Cape Henry Memorial Part of Colonial National Historical Park,https://www.nps.gov/came/index.htm,"Spring: Temperatures usually range from 40 F to 80 F. Rain is common.

Summer: Temperatures usually range from 80 F to 100 F. Rain and sun are equally common. On very sunny days, be prepared with plenty of water .

Fall: Temperatures usually range from 40 F to 70 F.

Winter: Temperatures range from 40 F to 20 F. Be prepared with cold weather gear and numerous layers if you intend to be outside.",Cape Henry Memorial
255,NC,"lat:35.26815509, long:-82.45106258","Carl Sandburg provided a popular voice for the American people of the twentieth century and still speaks to us through his words, activism, music and the beauty and serenity of Carl Sandburg Home National Historic Site.

Explore Sandburg's legacy and Experience Your America!",National Historic Site,carl,6E9B2F16-4CFE-49B2-A95E-87E4F02E79FF,"The park is located three miles south of Hendersonville, NC on Little River Road off of the Greenville Highway/Rt. 225 in Flat Rock, NC. Visitors using GPS or mapping software should use 1800 Little River Road and look for the signs directing you to the visitor parking lot on Little River Road.",http://www.nps.gov/carl/planyourvisit/directions.htm,Carl Sandburg Home National Historic Site,https://www.nps.gov/carl/index.htm,"Average Monthly Highs and Lows
January - 45 / 25
February - 50 / 30
March - 55 / 35
April - 60 / 40	
May- 70 / 60	
June - 80 / 65	
July - 85 / 65
August - 80 / 65
September - 75 / 55
October - 70 / 45
November - 60 / 35
December - 50 / 30",Carl Sandburg Home
256,FL,"lat:29.89785701, long:-81.31217173","A monument not only of stone and mortar but of human determination and endurance, the Castillo de San Marcos symbolizes the clash between cultures which ultimately resulted in our uniquely unified nation.  Still resonant with the struggles of an earlier time, these original walls provide tangible evidence of America’s grim but remarkable history.",National Monument,casa,E455313B-782A-4CDC-A6A5-8B506FA3A4C1,"On State Route A1A overlooking Matanzas Bay in the heart of the historic district of Saint Augustine, the Castillo is approximately a five mile drive from Interstate 95.",http://www.nps.gov/casa/planyourvisit/directions.htm,Castillo de San Marcos National Monument,https://www.nps.gov/casa/index.htm,"St. Augustine has a semi-tropical climate with over 300 days of sunshine each year. Summers (May-September) are hot, bright, and humid with afternoon thunderstorms common. Temperatures range from the lower 70s to the mid 90s F.
 
Spring (March-mid-May) and Autumn (October-late November) can be pleasant with temperatures ranging from the upper 50s into the 80s F.
 
The Winter months (December-March) are usually dry. Temperatures can be cool ranging from the upper 30s through the 60sF.",Castillo de San Marcos
257,CA,"lat:35.29156348, long:-115.0935606","Castle Mountains represents some of the most unique elements of the Mojave Desert. Nestled between the Nevada state line and Mojave National Preserve, the nearly 21,000 acres of Castle Mountains boasts Joshua tree forests, unbroken natural landscapes, rare desert grasslands, and rich human history. This intriguing area provides serenity and solitude from nearby metropolitan areas.",National Monument,camo,872417E6-2F91-4FDA-89A7-865B51B22332,You can approach Castle Mountains from Walking Box Ranch Road off of Nevada State Rd 164 (Nipton Road) or from several unnamed dirt roads off of Lanfair Road in Mojave National Preserve.,http://www.nps.gov/camo/planyourvisit/directions.htm,Castle Mountains National Monument,https://www.nps.gov/camo/index.htm,"Weather at Castle Mountains changes with the seasons. Freezing temperatures are expected in winter, with occasional snow. Spring brings mild warm days and cooler nights. With enough rain, wildflowers can carpet the area, making for spectacular displays. Summer months are much hotter, with temperatures nearing 100 degrees Fahrenheit. Strong monsoonal storms in late summer may cause flash-flooding in low-lying areas and can create hazardous road conditions. Fall is a cooler respite after the heat of summer.",Castle Mountains
258,CA,"lat:35.22729389, long:-118.5615781","Yes, we can!

Widely recognized as the most important Latino leader in the United States during the twentieth century, César E. Chavez led farm workers and supporters in the establishment of the country's first permanent agricultural union. His leadership brought sustained international attention to the plight of U.S. farm workers, and secured for them higher wages and safer working conditions",National Monument,cech,D1EAA1D1-E855-42FF-9D06-8E983413BDE5,"The monument is located near the small town of Keene, California on Highway 58. From Highway 58, take exit 138 toward Keene, then turn right on Woodford-Tehachapi Road. César E. Chavez National Monument will be on your left.",http://www.nps.gov/cech/planyourvisit/directions.htm,César E. Chavez National Monument,https://www.nps.gov/cech/index.htm,"The climate in this area is mild, with warm, dry summers and cool winters. Average temperatures in July, the warmest month, are in the mid-80s and hot days often reach into the 90s. In winter, frosty mornings are common and roads may be icy.",César E. Chavez
259,TX,"lat:31.76729634, long:-106.4544011",Chamizal is more than just an urban park to recreate or enjoy a quiet afternoon. These grounds are a reminder of the harmonious settlement of a 100-year border dispute between the United States and Mexico. We celebrate the cultures of the borderlands to promote the same mutual respect that helped to diplomatically resolve an international disagreement.,National Memorial,cham,EA328EBD-71CC-49B9-8F64-97C8A188BCA4,"From the west take exit 21 off of I-10 toward Piedras Street. Turn right onto Piedras and follow it to Paisano Drive. Turn left onto Paisano and then turn right onto San Marcial Street. From the north take exit 20A off of US-54 for US-62 toward Paisano Drive. Turn right onto Paisano and follow it until you reach San Marcial Street. From the east take exit 22B on I-10 toward US-54. Stay left until two lanes merge, move into the right lane toward Paisano Drive. Turn right at the light and merge onto Paisano.",http://www.nps.gov/cham/planyourvisit/directions.htm,Chamizal National Memorial,https://www.nps.gov/cham/index.htm,"Chamizal National Memorial is open year-round, but periodic winter weather conditions may cause closure. Please check for alerts on the park website: www.nps.gov/cham. Thunderstorms typically occur during summer and early fall. There may be no shelter to avoid lightning, so please prepare by looking at weather forecasts and paying attention to developing weather conditions.",Chamizal
260,"DC,MD,NY,PA,VA,WV","lat:37.3221206665039, long:-76.2533569335938","The Chesapeake Bay Gateways and Watertrails Network connects you with the natural and cultural heritage of the Chesapeake Bay watershed through more than 170 exceptional parks, wildlife refuges, museums, sailing ships, historic communities, trails and more. Gateways Network partner sites and water trails are the special places where you can experience the authentic Chesapeake.",,cbgn,0F4FC492-DB2A-4D0E-8640-817FD8C05C88,,,Chesapeake Bay Gateways and Watertrails Network,https://www.nps.gov/cbgn/index.htm,,Chesapeake Bay Gateways and Watertrails Network
261,ID,"lat:42.0699024, long:-113.7124097","Emigrants of the California Trail describe the rocks here in vivid detail as ""a city of tall spires,” “steeple rocks,"" and ""the silent city."" Today, this backcountry byway attracts rock climbers, campers, hikers, hunters, and those with the spirit of adventure. There's inspirational scenery, exceptional opportunities for geologic study, and remnants of the Old West awaiting your discovery.",National Reserve,ciro,FC72FEF5-362F-4C9B-B6A1-88FA559D84CE,"From Boise: take I-84 East to exit 216 (Declo); go south on Highway 77 to Conner Creek Junction; turn right (west) on Highway 77 Spur to Almo. The visitor center and the park entrance are south of the post office and businesses.
From Pocatello: take I-86 West to I-84 West to exit 216 and proceed as above.
From Salt Lake City: take I-84 west to exit 245 (Sublette), turn left and go west to Malta. From Malta take Highway 77. Take Highway 77 Spur to Almo.",http://home.nps.gov/ciro/planyourvisit/directions.htm,City Of Rocks National Reserve,https://www.nps.gov/ciro/index.htm,"City of Rocks is located in south-central Idaho within the northern edge of the Basin and Range geologic province. Outdoor recreation can be pleasant from April through October. Summers are generally dry with 10 to 15 inches of precipitation in winter and spring. Summer temperatures range widely with night time lows occasionally approaching freezing and midday highs nearing 100° F; however, the typical range of low and high temperature is 45-85. Thunderstorms are common in the summer months (June - August)",City Of Rocks
262,"DC,MD,VA","lat:38.93596206, long:-77.04998374","On forested hills surrounding the nation's capital are the remnants of a complex system of Civil War fortifications. These strategic buttresses transformed the young capital into one of the world's most fortified cities. By 1865, 68 forts and 93 batteries armed with over 800 cannons encircled Washington, DC. Today, you can visit 17 of the original sites now managed by the National Park Service.",,cwdw,8A6C3A35-C48B-4125-82E1-939A1B3A535C,Please call 202-829-4650. Directions vary based on your preference of site.,http://www.nps.gov/cwdw/index.htm,Civil War Defenses of Washington,https://www.nps.gov/cwdw/index.htm,"Civil War Defenses of Washington sites will be open. For Updates, visit the parks alert section of the website.",Civil War Defenses of Washington
263,AZ,"lat:31.34900397, long:-110.2561574","It was a journey of conquest filled with exploration, wonder - and cruelty. Inspired by tales of vast cities of gold, 339 European soldiers and hundreds of Aztec allies embarked on an epic journey through arid deserts and rugged mountains. They encountered rich traditions and brought new technologies. The resulting collision and combination of cultures reverberates today.",National Memorial,coro,6ED827FD-EA71-443E-83EE-9367FD14F940,From the city of Sierra Vista continue south on Hwy 92 about 20 miles and turn right onto S. Coronado Memorial Drive. Follow Coronado Memorial Drive (it will turn into E Montezuma Canyon Rd) 5 miles to the Visitor Center.,http://www.nps.gov/coro/planyourvisit/directions.htm,Coronado National Memorial,https://www.nps.gov/coro/index.htm,"Though the park shares a border with our southern neighbors, the elevation and the mountain ecosystem keep Coronado National Memorial relatively cool in the summer, and winter can bring snow. 
Summers are warm, with daytime temps in the 90s F (32-37 C) and low humidity in May, June, and July. The summer rainy season (monsoon) is between late June and early September. Monsoon thunderstorms can cause flash floods. Winter temps can fall below freezing at night, with highs 40-60 F (4-15 C).",Coronado
264,OH,"lat:39.78944467, long:-84.10442045","Three exceptional men from Dayton, Ohio, Wilbur Wright, Orville Wright and Paul Laurence Dunbar, found their creative outlet here through accomplishments and failures, and finally success. However, these men offered the world something far greater, they offered the world hope, and the ability to take a dream and make it a reality.",National Historical Park,daav,C62B89CF-F912-46F4-878C-8EEBD843CEC6,"From I-75, take U.S. Route 35 West (Exit 52b).  Keep right and follow signs for State Route 4/Germantown. Turn slightly right onto S. Williams St. Continue to Fourth Street & turn right and proceed into parking lot on your left. Visitor Center will be directly next to parking lot.",http://www.nps.gov/daav/planyourvisit/directions.htm,Dayton Aviation Heritage National Historical Park,https://www.nps.gov/daav/index.htm,"The park lies in a humid continental zone with a generally temperate climate. Winters are mildly cold with average temperatures around 39 degrees (F). Summers are hot and humid with an average temperature around 74 degrees (F). Average annual total rainfall is just above 41"". Snowfall in the winter is generally light with an average total snowfall of about 25"".",Dayton Aviation Heritage
265,MA,"lat:42.6678314208984, long:-70.9571075439453","The Essex National Heritage Area begins just 10 miles north of Boston and covers 500 square miles of eastern Massachusetts to the New Hampshire border. The Area includes hundreds of historical sites, miles of intact landscapes, glistening coastal regions and lifetimes of rich experiences that chronicle the history of our region and of our nation.",National Heritage Area,esse,77121CC2-70FB-4263-B3FF-94A6385F4E9C,"Heading north of Boston, Interstate 93 and state Routes 1 and 1A traverse the length of the ENHA. South from New Hampshire, take Routes 1, 3 and Interstates 93 and 95.

West from the Massachusetts Turnpike (I-90), take Interstates 495 north or Interstate 95/Route 128. From the northwest, take state Route 2.

The Essex National Heritage Commission has placed brown highway signs on all major roads to guide visitors to local sites and visitor centers. They are easy to see and easy to follow!",http://www.nps.gov/esse/planyourvisit/directions.htm,Essex National Heritage Area,https://www.nps.gov/esse/index.htm,Please check local forecasts for weather information.,Essex
266,WY,"lat:42.20301694, long:-104.5459112","Originally established as a private fur trading fort in 1834, Fort Laramie evolved into the largest and best known military post on the Northern Plains before its abandonment in 1890. This “grand old post” witnessed the entire sweeping saga of America’s western expansion and Indian resistance to encroachment on their territories.",National Historic Site,fola,53C5C818-EB7C-4FEB-B94F-892588205D64,"The park is located in Southeast Wyoming approximately 100 miles north of Cheyenne, Wyoming and 55 miles west of Scottsbluff, Nebraska.

From Interstate-25, take exit 92 to U.S. Highway 26, proceed east to the town of Fort Laramie; turn right on State Route 160 and travel 3 miles to the park entrance.",http://www.nps.gov/fola/planyourvisit/directions.htm,Fort Laramie National Historic Site,https://www.nps.gov/fola/index.htm,"Fort Laramie is located in the warmest part of Wyoming. Summer days can get quite hot (over 100 degrees Fahrenheit) with average temperatures in the 80s and 90s, though nights are mostly cool.The region is semi-arid with a very distinct winter dry season. About 70% of the normal annual precipitation falls during the spring and early summer. Winters can be cold and breezy with sub-zero days. Visitors should be aware that high winds are possible in the winter and can approach hurricane strength.",Fort Laramie
267,KS,"lat:38.18047491, long:-99.21836664",Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.,National Historic Site,fols,6C6ABAB9-7F52-4172-8009-817612726CFF,"Fort Larned National Historic Site is located on KS Hwy 156, six miles west of Larned, Kansas.",http://www.nps.gov/fols/planyourvisit/directions.htm,Fort Larned National Historic Site,https://www.nps.gov/fols/index.htm,"Central Kansas has a four-season climate. Winter tends to be cold and dry, with average daytime highs below 40F (4C). Foehn winds blowing across the Great Plains from the Southwest periodically raise temperatures above 80F (27C). Unsettled warmer air, higher winds, and severe weather arrive in the spring and often last through early July. Late summer days hover above 90F (32C) and readings over 100F (38C) are not uncommon. Fall is variable but generally milder with showers changing to snow and ice later.",Fort Larned
